Video ID,Title,Duration (seconds),Views,Category,Category ID,Like Rate,Comment Rate
QIw6ITiwgBU,The Electric State | Final Trailer | Netflix,131,1801529,科幻/奇幻 Sci-Fi/Fantasy,4,0.8,0.09
a_1-vyLcBpM,How to Sell Drugs Online (Fast): The Final Season | Official Trailer | Netflix,117,30781,劇情 Drama,1,3.39,0.24
pPNrWvatXiU,Asterix & Obelix: The Big Fight | Official Trailer | Netflix,170,385261,動畫 Animation,7,2.58,0.17
B7RRBoGsydg,"With Love, Meghan | How to Make a Fruit Rainbow | Sneak Peek | Netflix",90,348686,紀錄片 Documentary,6,0.58,2.15
Vdro1p53LYQ,"With love, Meghan | Official trailer | Netflix",110,2310458,劇情 Drama,1,0.96,3.86
blIm8p6u_i4,Tyler Perry’s Beauty in Black | Part 2 Official Trailer | Netflix,122,1077295,劇情 Drama,1,1.1,0.1
u2Yj_rmCzhE,Apple Cider Vinegar | Official Trailer | Netflix,159,726835,劇情 Drama,1,0.83,0.08
HAQfDRvrU0s,HAVOC | Official Teaser | Netflix,60,3233162,動作/冒險 Action/Adventure,3,2.56,0.13
Ed1sGgHUo88,Squid Game: Season 2 | Official Trailer | Netflix,107,17319910,恐怖/驚悚 Horror/Thriller,5,1.67,0.06
HWpuoEzfwp0,Formula 1: Drive to Survive - Season 7 | First Look | Netflix,80,373983,紀錄片 Documentary,6,2.42,0.09
kf9e1o7rUeo,Don't Die: The Man Who Wants to Live Forever | Official Trailer | Netflix,133,734472,紀錄片 Documentary,6,1.14,0.2
MbKeytYuJRA,American Primeval | Official Mature-Rated Trailer | Netflix,77,1107061,劇情 Drama,1,0.97,0.1
U8WMvCrywYg,American Primeval | Official Trailer | Netflix,130,1728874,劇情 Drama,1,0.85,0.11
MV2nYw6gL_w,"Back in Action | Jamie Foxx, Cameron Diaz | Official Trailer | Netflix",128,1895975,動作/冒險 Action/Adventure,3,0.9,0.07
oGA8VYSdjZk,Court of Gold | Official Trailer | Netflix,141,1608171,紀錄片 Documentary,6,2.62,0.11
pEO34SeTsY0,Counterstrike | Official Trailer | Netflix,117,3416987,動作/冒險 Action/Adventure,3,2.05,0.15
-u1WgNJgmug,Cassandra | Official Trailer | Netflix,129,1264337,恐怖/驚悚 Horror/Thriller,5,1.36,0.11
8gH6AEBwEAw,Players | Official Trailer | Netflix,153,5670387,喜劇 Comedy,2,1.51,0.05
IHRScjhllsQ,Plankton: The Movie | Official Trailer | Netflix,120,1479321,動畫 Animation,7,2.56,0.0
q-aZV95YSr0,The Leopard | Official Trailer | Netflix,131,189997,劇情 Drama,1,0.97,0.09
mTmSaHTVRPo,The Lost Children | Official Trailer | Netflix,148,1103512,紀錄片 Documentary,6,0.9,0.04
YICEbGkET_0,MISSING YOU | Official Trailer | Netflix,159,936340,恐怖/驚悚 Horror/Thriller,5,0.98,0.06
bUjTGsbb3C4,Investigation Alien | Official Trailer | Netflix,107,1597636,紀錄片 Documentary,6,1.9,0.15
YjTZMEbpKsc,DON'T MOVE | Official Trailer | Netflix,120,4641400,恐怖/驚悚 Horror/Thriller,5,0.91,0.05
KS0XacjMmOc,Carry-On | Official Trailer | Netflix,169,6568705,恐怖/驚悚 Horror/Thriller,5,1.29,0.06
Jq-WbXY9K3E,Surviving Black Hawk Down | Official Trailer | Netflix,115,3565378,紀錄片 Documentary,6,1.79,0.11
4oQeQR1DEjw,One Hundred Years of Solitude: Part 1 | Official Trailer | Netflix,132,573381,劇情 Drama,1,1.06,0.07
H6JgBBo9ugE,Survival of the Thickest: Season 2 | Official Trailer | Netflix,127,49068,劇情 Drama,1,4.79,0.22
ie6WSX0py58,Toxic Town | Official Trailer | Netflix,140,393108,劇情 Drama,1,1.24,0.08
fcc9G9PXTEE,Our Little Secret | Lindsay Lohan | Official Trailer | Netflix,138,1613837,劇情 Drama,1,1.39,0.05
4oQeQR1DEjw,One Hundred Years of Solitude: Part 1 | Official Trailer | Netflix,132,573381,劇情 Drama,1,1.06,0.07
ie6WSX0py58,Toxic Town | Official Trailer | Netflix,140,393108,劇情 Drama,1,1.24,0.08
fcc9G9PXTEE,Our Little Secret | Lindsay Lohan | Official Trailer | Netflix,138,1613837,劇情 Drama,1,1.39,0.05
SdUdDBt2SZ0,Celebrity Bear Hunt | Official Trailer | Netflix,143,127050,動作/冒險 Action/Adventure,3,1.18,0.2
RiRiTEhiyP4,Illumination’s SING: THRILLER | Official Trailer | Netflix,49,978901,動畫 Animation,7,1.38,0.08
d74vHvsACSs,MARY | Official Trailer | Netflix,140,2216715,劇情 Drama,1,2.19,0.3
KpN98z8Kf5E,The Electric State | Official Trailer | Netflix,104,1238663,科幻/奇幻 Sci-Fi/Fantasy,4,1.57,0.14
FXflfh5jdIc,The Night Agent: Season 2 | Official Trailer | Netflix,127,2180984,劇情 Drama,1,1.59,0.07
fwKm7WM_P8E,Mr. McMahon | Official Trailer | Netflix,137,4045062,紀錄片 Documentary,6,2.44,0.2
wvYmnIZFtSE,Delicious | Official Trailer | Netflix,123,453381,恐怖/驚悚 Horror/Thriller,5,0.51,0.07
OVfZw_eqJW8,Buy Now! The Shopping Conspiracy | Official Trailer | Netflix,136,1996301,紀錄片 Documentary,6,1.75,0.08
q0GpvLLMVQ4,DON'T MOVE | Official Trailer #2 | Netflix,71,1636185,恐怖/驚悚 Horror/Thriller,5,0.27,0.02
0dclNQV71-k,Tyler Perry’s Beauty in Black | Official Trailer | Netflix,119,1712302,劇情 Drama,1,0.82,0.11
lTu7j2GOGwQ,Lonely Planet | Official Trailer | Netflix,136,1458139,劇情 Drama,1,0.65,0.06
X0ZGf2B01uU,Wallace & Gromit: Vengeance Most Fowl | Official Trailer | Netflix,133,1650603,動畫 Animation,7,2.99,0.0
jGQiq1ZuCW8,Spellbound | Official Trailer | Netflix,139,11627927,動畫 Animation,7,0.09,0.01
7Thq-SBtukg,The Six Triple Eight | Official Trailer | Netflix,157,2664292,劇情 Drama,1,0.95,0.22
NpDkoSVn5Ag,The Residence | Official Teaser | Netflix,102,148337,恐怖/驚悚 Horror/Thriller,5,2.16,0.13
AlHrhysomJo,Castlevania: Nocturne Season 2 | Official Trailer | Netflix,161,813418,科幻/奇幻 Sci-Fi/Fantasy,4,4.8,0.39
fd5Pz38FDQs,A Nonsense Christmas with Sabrina Carpenter | Official Trailer | Netflix,88,1572308,喜劇 Comedy,2,4.35,0.1
aJITrkLe0IA,The Manhattan Alien Abduction | Official Trailer | Netflix,145,818037,紀錄片 Documentary,6,1.84,0.22
lNMSqxQtO0w,ONE PIECE | Official Teaser Trailer | Netflix,104,12803771,動作/冒險 Action/Adventure,3,2.48,0.33
SiCTXSwqzkw,That Christmas | Official Trailer | Netflix,148,1795356,喜劇 Comedy,2,1.32,0.07
dtohea4CFbE,Mo | Official Trailer | Netflix,124,1289282,劇情 Drama,1,1.33,0.09
5S7FR_HCg9g,THE KILLER | Official Trailer | Netflix,135,8888233,恐怖/驚悚 Horror/Thriller,5,0.58,0.03
BcXg28iAiLM,MONSTERS: The Lyle and Erik Menendez Story | Official Trailer #2 | Netflix,164,1554781,紀錄片 Documentary,6,1.01,0.12
0XuOkYlUWIs,13 Reasons Why: Season 2 | Official Trailer | Netflix,135,13356111,劇情 Drama,1,2.28,0.19
2zFVoLQyWjc,La Palma | Official Trailer | Netflix,135,965386,劇情 Drama,1,0.58,0.15
gF3gZicntIw,Rebel Ridge | Official Trailer | Netflix,138,5044021,劇情 Drama,1,1.04,0.1
eafm1gB6SCM,Baby Reindeer | Official Trailer | Netflix,142,5441123,恐怖/驚悚 Horror/Thriller,5,0.46,0.04
aJITrkLe0IA,The Manhattan Alien Abduction | Official Trailer | Netflix,145,818037,紀錄片 Documentary,6,1.84,0.22
H6JgBBo9ugE,Survival of the Thickest: Season 2 | Official Trailer | Netflix,127,49075,劇情 Drama,1,4.79,0.22
1R0d2jW7a-I,Black Doves | Official Trailer | Netflix,154,1723576,恐怖/驚悚 Horror/Thriller,5,0.94,0.06
1weI6ICx-hg,The Crown: Season 6 | Part 1 Trailer | Netflix,143,6006835,劇情 Drama,1,0.65,0.04
dtohea4CFbE,Mo | Official Trailer | Netflix,124,1289288,劇情 Drama,1,1.33,0.09
SiCTXSwqzkw,That Christmas | Official Trailer | Netflix,148,1795356,喜劇 Comedy,2,1.32,0.07
5S7FR_HCg9g,THE KILLER | Official Trailer | Netflix,135,8888248,恐怖/驚悚 Horror/Thriller,5,0.58,0.03
0XuOkYlUWIs,13 Reasons Why: Season 2 | Official Trailer | Netflix,135,13356111,劇情 Drama,1,2.28,0.19
tQt-irbJtq8,Castlevania: Nocturne Season 2 | Official Trailer | Netflix,124,1632655,科幻/奇幻 Sci-Fi/Fantasy,4,4.84,0.32
2zFVoLQyWjc,La Palma | Official Trailer | Netflix,135,965402,劇情 Drama,1,0.58,0.15
gF3gZicntIw,Rebel Ridge | Official Trailer | Netflix,138,5044043,劇情 Drama,1,1.04,0.1
eyymxGQuv3o,Jake Paul vs. Mike Tyson | Official Trailer | Netflix,84,2068775,動作/冒險 Action/Adventure,3,1.36,0.15
Fvq6ojBVO6w,Virgin River: Season 6 | Official Trailer | Netflix,108,572294,劇情 Drama,1,0.88,0.08
OhcOHkgTrQQ,Uglies | Official Trailer | Netflix,166,3995508,科幻/奇幻 Sci-Fi/Fantasy,4,1.33,0.12
6d6WBtDse_Y,Happy Gilmore 2 | Happy New Year | Netflix,47,4109928,喜劇 Comedy,2,0.9,0.1
fPopd3ZOGUY,Sakamoto Days | Final Trailer | Netflix,154,3132950,動作/冒險 Action/Adventure,3,0.65,0.03
Xj2b0swdpX8,LOVE DEATH + ROBOTS VOLUME 3 | Official Trailer | Netflix,120,10335155,動畫 Animation,7,2.95,0.1
brTcuO49G4I,SAVE THE DATES | 2023 Films Preview | Official Trailer | Netflix,159,14751378,劇情 Drama,1,0.27,0.02
WPB6DuNB9L0,Cobra Kai: Season 6 Part 3 | Final Trailer | Netflix,159,2604717,動作/冒險 Action/Adventure,3,2.47,0.24
xQaa4G0JZn8,The Menendez Brothers | Official Trailer | Netflix,153,1828225,紀錄片 Documentary,6,1.51,0.14
JKufPJ-JHvA,No Good Deed | Official Trailer | Netflix,144,1163878,恐怖/驚悚 Horror/Thriller,5,0.88,0.05
lQBmZBJCYcY,Squid Game: Season 2 | Official Teaser | Netflix,113,21281064,劇情 Drama,1,2.4,0.09
1uRZ8CFExEY,TERMINATOR ZERO | Official Trailer | Netflix,129,1081214,科幻/奇幻 Sci-Fi/Fantasy,4,2.73,0.23
-GhjUK2ICds,Love is Blind Season 8 | Official Trailer | Netflix,111,232274,劇情 Drama,1,0.76,0.14
eOREb9wDcvk,Roosters | Official Trailer | Netflix,109,42786,喜劇 Comedy,2,0.93,0.19
G5vlfImmKQg,Mo: Season 2 | Official Trailer | Netflix,139,199351,劇情 Drama,1,2.32,0.2
U4JYAx5rNRA,Bridgerton Season 3 | Official Trailer | Netflix,168,8631593,劇情 Drama,1,2.48,0.1
setgvHG3w48,Fargo | Trailer | Netflix,30,2054188,劇情 Drama,1,0.3,0.01
9gUDaPTPxwo,The Electric State | Official Teaser | Netflix,148,4354185,科幻/奇幻 Sci-Fi/Fantasy,4,1.29,0.12
wcF0A-Gy-Ng,Griselda | Official Trailer | Netflix,153,3407029,劇情 Drama,1,1.36,0.08
0CIcPQucoIw,American Manhunt: O.J. Simpson | Official Trailer | Netflix,147,231147,紀錄片 Documentary,6,1.64,0.45
8IIJC-T4myo,Criminal Code | Official Trailer | Netflix,115,2251822,動作/冒險 Action/Adventure,3,0.87,0.02
MnHTLh6ruW0,Trigger Warning | Official Trailer | Netflix,114,3944715,動作/冒險 Action/Adventure,3,0.97,0.09
m8rpXHCa8kE,The Madness | Official Trailer | Netflix,125,922366,恐怖/驚悚 Horror/Thriller,5,0.99,0.08
Jokpt_LJpbw,ATLAS | Official Trailer | Netflix,169,12749231,科幻/奇幻 Sci-Fi/Fantasy,4,0.33,0.06
xyFKgPpdYdc,Twilight of the Gods | Official Trailer | Netflix,139,1041860,動畫 Animation,7,3.63,0.28
UKFMYWNatQM,The Platform 2 | Official Trailer | Netflix,160,1256137,恐怖/驚悚 Horror/Thriller,5,0.94,0.09
TXzPaCbpAHc,Cobra Kai Season 6: Part 2 | Official Trailer | Netflix,130,2657160,動作/冒險 Action/Adventure,3,2.21,0.26
jAy6NJ_D5vU,Marvel's Daredevil | Official Trailer [HD] | Netflix,139,12505500,動作/冒險 Action/Adventure,3,0.7,0.04
Pj0wz7zu3Ms,RED NOTICE | Official Trailer | Netflix,187,9459191,動作/冒險 Action/Adventure,3,1.14,0.05
Qoyn5BCm37o,Joy | Official Trailer | Netflix,153,831837,劇情 Drama,1,1.25,0.04
98Bbyt_-Co8,The Helicopter Heist | Official Trailer | Netflix,139,384548,劇情 Drama,1,0.82,0.04
TqfaCAA1UeE,Uprising | Official Trailer | Netflix,101,621046,劇情 Drama,1,0.81,0.06
zBFSEbZNvhc,La Dolce Villa | Scott Foley | Official Trailer | Netflix,127,623621,劇情 Drama,1,0.97,0.05
OAj2VFETzoM,Kinda Pregnant | Official Trailer | Netflix,153,246572,喜劇 Comedy,2,1.28,0.4
qkaNg-0RIsM,"XO, Kitty: Season 2 | Official Trailer | Netflix",132,3050022,劇情 Drama,1,3.13,0.13
9gUDaPTPxwo,The Electric State | Official Teaser | Netflix,148,4354444,科幻/奇幻 Sci-Fi/Fantasy,4,1.29,0.12
6KMmZc49lXE,The Empress: Season 2 | Official Trailer | Netflix,142,501174,劇情 Drama,1,1.15,0.07
RJBNi0CjX5I,It’s What’s Inside | Official Trailer | Netflix,155,2969427,恐怖/驚悚 Horror/Thriller,5,0.58,0.04
1R0d2jW7a-I,Black Doves | Official Trailer | Netflix,154,1723576,恐怖/驚悚 Horror/Thriller,5,0.94,0.06
jVjNE5O89PE,Territory | Official Trailer | Netflix,164,787677,劇情 Drama,1,0.68,0.07
U4JYAx5rNRA,Bridgerton Season 3 | Official Trailer | Netflix,168,8631598,劇情 Drama,1,2.48,0.1
rK-JQU_bShc,Do Revenge | Official Trailer | Netflix,159,5726939,喜劇 Comedy,2,1.9,0.04
44inavuvxEw,Sweet Magnolias: Season 4 | Official Trailer | Netflix,132,502250,劇情 Drama,1,1.58,0.09
vea9SdnRMyg,The Union | Mark Wahlberg + Halle Berry | Official Trailer | Netflix,174,7396746,動作/冒險 Action/Adventure,3,1.06,0.06
0ri2biYLeaI,Ripley | Official Trailer | Netflix,141,3787060,劇情 Drama,1,0.68,0.05
mO0OuR26IZM,EXTRACTION 2 | Official Teaser Trailer | Netflix,124,11521968,動作/冒險 Action/Adventure,3,1.93,0.08
G5vlfImmKQg,Mo: Season 2 | Official Trailer | Netflix,139,199351,劇情 Drama,1,2.32,0.2
Ud6-SGnzH3k,Saving Bikini Bottom: The Sandy Cheeks Movie | Official Trailer | Netflix,130,1433572,動畫 Animation,7,1.96,0.0
m0aa_JaA-c8,Cobra Kai Season 6: Part 1 | Official Trailer | Netflix,130,2998818,動作/冒險 Action/Adventure,3,2.41,0.18
PhLSDnxLp-M,Feel the Beat | Official Trailer | Netflix,164,9767827,劇情 Drama,1,1.78,0.04
vea9SdnRMyg,The Union | Mark Wahlberg + Halle Berry | Official Trailer | Netflix,174,7396746,動作/冒險 Action/Adventure,3,1.06,0.06
U4JYAx5rNRA,Bridgerton Season 3 | Official Trailer | Netflix,168,8631604,劇情 Drama,1,2.48,0.1
44inavuvxEw,Sweet Magnolias: Season 4 | Official Trailer | Netflix,132,502250,劇情 Drama,1,1.58,0.09
0ri2biYLeaI,Ripley | Official Trailer | Netflix,141,3787060,劇情 Drama,1,0.68,0.05
Ud6-SGnzH3k,Saving Bikini Bottom: The Sandy Cheeks Movie | Official Trailer | Netflix,130,1433572,動畫 Animation,7,1.96,0.0
mO0OuR26IZM,EXTRACTION 2 | Official Teaser Trailer | Netflix,124,11521969,動作/冒險 Action/Adventure,3,1.93,0.08
Cj6N5aK2qzI,American Murder: Gabby Petito | Official Trailer | Netflix,109,557910,紀錄片 Documentary,6,1.24,0.43
ndl1W4ltcmg,THE WITCHER | MAIN TRAILER | NETFLIX,141,26045597,科幻/奇幻 Sci-Fi/Fantasy,4,2.05,0.15
m0aa_JaA-c8,Cobra Kai Season 6: Part 1 | Official Trailer | Netflix,130,2998818,動作/冒險 Action/Adventure,3,2.41,0.18
gj5ibYSz8C0,Glass Onion: A Knives Out Mystery | Official Trailer | Netflix,163,15492554,恐怖/驚悚 Horror/Thriller,5,0.64,0.02
J49VymjKJ8w,The Diplomat: Season 2 | Official Trailer | Netflix,115,743218,劇情 Drama,1,1.09,0.06
bqd702kNnRk,Family Pack | Official Trailer | Netflix,144,778417,科幻/奇幻 Sci-Fi/Fantasy,4,0.58,0.04
oqxAJKy0ii4,Squid Game | Official Trailer | Netflix,138,58725581,恐怖/驚悚 Horror/Thriller,5,1.52,0.07
OQSoII4Bj1o,INTERCEPTOR | Official Trailer | Netflix,125,4982998,動作/冒險 Action/Adventure,3,0.93,0.05
X8LHNaCHYsg,Avicii – I'm Tim | Official Trailer | Netflix,114,1432742,紀錄片 Documentary,6,3.08,0.13
Abje_mBb7Pc,Outer Banks: Season 4 | Part 2 Official Trailer | Netflix,129,898627,動作/冒險 Action/Adventure,3,3.37,0.16
3boMRfx6cjE,Love Hard | Official Trailer | Netflix,160,10744939,喜劇 Comedy,2,1.84,0.05
nUVNbJMWi_c,'BECKHAM' Documentary Series | Official Trailer | Netflix,164,3301565,紀錄片 Documentary,6,0.81,0.06
cZwjt0pjt8w,The Piano Lesson | Official Trailer | Netflix,117,3297223,劇情 Drama,1,0.63,0.04
JV8khm4s9j4,Jimmy Savile: A British Horror Story | Official Trailer | Netflix,135,3305081,紀錄片 Documentary,6,1.13,0.18
_EaEllq5FLk,MONSTERS: The Lyle and Erik Menendez Story | Official Trailer #1 | Netflix,164,2513204,劇情 Drama,1,1.19,0.14
K0jwAP2fS1E,His Three Daughters | Official Trailer | Netflix,145,1867491,劇情 Drama,1,1.31,0.04
JtqIas3bYhg,Cyberpunk: Edgerunners | Official NSFW Trailer | Netflix,138,6704926,科幻/奇幻 Sci-Fi/Fantasy,4,3.41,0.17
ry9UY2xxS04,Prison Cell 211 | Official Trailer | Netflix,94,175792,劇情 Drama,1,0.98,0.08
EHYcymIQ7xo,Jentry Chau vs the Underworld | Official Trailer | Netflix,102,359345,科幻/奇幻 Sci-Fi/Fantasy,4,3.94,0.25
jsKo8nvOfck,The Shadow Strays | Official Trailer | Netflix,114,1067955,動作/冒險 Action/Adventure,3,0.92,0.09
cMVBi_e8o-Y,Leave The World Behind | Official Trailer | Netflix,142,15219319,恐怖/驚悚 Horror/Thriller,5,0.4,0.06
2lqRPUhPfho,Unfrosted | Official Trailer | Netflix,147,5431584,喜劇 Comedy,2,0.43,0.06
gpv7ayf_tyE,Bridgerton | Official Trailer | Netflix,179,9400963,劇情 Drama,1,0.97,0.11
rmC3ZhIHHi4,Spectral | Official Trailer [HD] | Netflix,115,6707218,動作/冒險 Action/Adventure,3,0.47,0.03
ry9UY2xxS04,Prison Cell 211 | Official Trailer | Netflix,94,175792,劇情 Drama,1,0.98,0.08
gj5ibYSz8C0,Glass Onion: A Knives Out Mystery | Official Trailer | Netflix,163,15492566,恐怖/驚悚 Horror/Thriller,5,0.64,0.02
cMVBi_e8o-Y,Leave The World Behind | Official Trailer | Netflix,142,15219331,恐怖/驚悚 Horror/Thriller,5,0.4,0.06
gpv7ayf_tyE,Bridgerton | Official Trailer | Netflix,179,9400963,劇情 Drama,1,0.97,0.11
Xn2PsXD8m4A,Nobody Wants This | Official Trailer | Netflix,183,5199410,劇情 Drama,1,0.73,0.03
8QH5hBOoz08,14 Peaks: Nothing Is Impossible | Official Trailer | Netflix,115,4199203,紀錄片 Documentary,6,2.59,0.09
OQSoII4Bj1o,INTERCEPTOR | Official Trailer | Netflix,125,4982998,動作/冒險 Action/Adventure,3,0.93,0.05
bqd702kNnRk,Family Pack | Official Trailer | Netflix,144,778417,科幻/奇幻 Sci-Fi/Fantasy,4,0.58,0.04
mjLWuzGVyew,Messiah | Season 1 Official Trailer | Netflix,129,5967734,恐怖/驚悚 Horror/Thriller,5,0.89,0.41
mU01e6KjM2s,Old Dads | A Netflix Film From Director Bill Burr | Official Trailer | Netflix,124,7420442,喜劇 Comedy,2,0.78,0.06
65xa8TG2G8o,Inventing Anna | Official Trailer | Netflix,145,4733871,劇情 Drama,1,1.1,0.05
